name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSMergeOp(),4,0,21,------,------
execute(),305,75,30,10.167,2.500
printHelp(),16,1,2,------,------
~VSMergeOp(),4,0,2,------,------
