name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSSelectFieldOp(),8,0,2,------,------
allocatefArray(),102,20,2,51.000,10.000
execute(),318,75,21,15.143,3.571
printHelp(),18,1,2,------,------
~VSSelectFieldOp(),12,6,2,------,3.000
