name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSClusterCellOp(),9,0,1,------,------
allocateArray(),96,21,2,48.000,10.500
execute(),318,74,24,13.250,3.083
printHelp(),19,1,3,------,------
~VSClusterCellOp(),19,6,2,------,3.000
