name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
readData(),205,52,48,4.271,1.083
readHeader(),33,8,5,6.600,1.600
