name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSCutOp(),8,0,2,------,------
allocatefArray(),102,20,2,51.000,10.000
execute(),284,68,19,14.947,3.579
printHelp(),19,1,2,------,------
~VSCutOp(),12,6,2,------,3.000
