name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSGrid2PointDistr(),19,2,2,------,------
allocateArray(),76,21,8,9.500,2.625
execute(),437,155,37,11.811,4.189
printHelp(),27,1,2,13.500,------
setOrigin(),20,7,2,10.000,3.500
"setOrigin(float,float,float)",8,1,1,------,------
setSpacing(),47,17,1,47.000,17.000
"setSpacing(float,float,float)",13,5,1,------,5.000
~VSGrid2PointDistr(),14,5,3,------,1.667
