name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSInterpolateOp(),9,0,2,------,------
allocateArray(),117,21,2,58.500,10.500
execute(),414,95,14,29.571,6.786
printHelp(),20,1,3,6.667,------
~VSInterpolateOp(),22,12,2,11.000,6.000
