name,lines_of_code,McCabes_cyclomatic_complexity,lines_of_comment,lines_of_code_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment
VSStatisticOp(),14,0,1,------,------
allocateArray(),49,12,2,24.500,6.000
execute(),365,91,11,33.182,8.273
getHisto(),0,0,0,------,------
"getRange(int,float &,float &,float &,float &)",13,5,3,------,1.667
printHelp(),17,1,2,------,------
~VSStatisticOp(),19,11,0,------,******
